Year,Month,Tropical_group,Islands_group,Red_Sea,Latitude,Longitude,SST (Â°C),pH Level,None,Low_to_Medium_Bleaching,High,Species Observed,Marine Heatwave
2019,6,0,0,1,19.981,38.4898,27.63,8.017,1,0,0,118,0
2019,6,1,0,0,3.1416,73.2224,27.35,8.085,0,1,0,108,0
2019,7,1,0,0,15.0165,-74.9583,25.51,8.129,0,0,1,168,0
2019,7,0,0,1,19.9395,38.5836,29.13,8.002,0,0,1,112,0
2019,7,1,0,0,15.0279,-74.9962,29.31,7.988,1,0,0,114,0
2019,7,1,0,0,14.9293,-75.0056,27.14,8.04,1,0,0,152,0
2019,7,0,1,0,-0.8992,-90.9351,26.86,8.067,0,0,1,154,0
2019,8,1,0,0,-18.28,147.8152,29.09,8.048,0,1,0,109,0
2019,8,1,0,0,10.0067,114.9924,29.56,8.077,0,1,0,97,0
2019,8,1,0,0,14.9334,-75.0918,29.26,7.98,0,1,0,80,0
2019,8,1,0,0,10.0194,115.1246,28.49,8.092,0,1,0,121,0
2019,9,0,1,0,-0.9587,-90.9196,28.06,8.072,0,1,0,129,0
2019,9,1,0,0,-18.3205,147.7488,28.24,8.017,0,1,0,130,0
2019,9,1,0,0,3.1579,73.2221,28.49,8.105,1,0,0,127,0
2019,9,0,1,0,19.8955,-155.5419,30.59,8.036,0,1,0,99,1
2019,9,1,0,0,14.9344,-75.0533,28.04,8.029,1,0,0,121,0
2019,10,0,1,0,-0.951,-90.9391,28.39,8.076,0,1,0,122,0
2019,10,1,0,0,14.9012,-75.047,28.28,7.994,0,1,0,131,0
2019,10,0,0,1,20.0765,38.5609,28.18,8.131,0,1,0,125,0
2019,10,0,1,0,-0.9707,-90.9963,28.05,8.04,1,0,0,127,0
2019,10,1,0,0,15.008,-74.9998,29.16,8.096,0,1,0,127,0
2019,11,1,0,0,9.9258,114.8723,29.9,7.954,0,1,0,102,0
2019,11,1,0,0,14.9415,-75.0901,29.31,8.072,0,1,0,103,0
2019,11,1,0,0,14.8704,-75.0273,29.09,7.964,0,0,1,116,0
2019,11,0,1,0,19.896,-155.5538,28.68,7.998,1,0,0,136,0
2019,12,1,0,0,3.1949,73.2193,27.1,8.056,0,0,1,120,0
2019,12,1,0,0,9.9914,115.0856,26.44,8.01,0,1,0,162,0
2019,12,1,0,0,14.9895,-75.0335,30.06,7.989,0,1,0,131,1
2019,12,1,0,0,10.0339,114.9756,31.74,7.955,0,1,0,98,1
2019,12,0,1,0,19.9118,-155.5177,30.84,8.005,0,1,0,85,1
2020,1,0,0,1,20.023,38.4661,31.52,7.996,0,1,0,84,1
2020,1,1,0,0,10.0092,114.9326,27.04,8.139,0,1,0,124,0
2020,1,1,0,0,3.1505,73.2475,30.28,8.05,0,1,0,117,1
2020,1,1,0,0,9.9622,114.9289,30.75,7.989,1,0,0,93,1
2020,2,0,0,1,20.0664,38.5278,29.18,8.145,1,0,0,103,0
2020,2,0,0,1,20.0464,38.5029,28.9,8.118,0,1,0,123,0
2020,2,1,0,0,-18.2602,147.7528,27.95,8.019,1,0,0,109,0
2020,2,1,0,0,9.9017,115.1028,26.85,8.072,0,1,0,132,0
2020,2,0,0,1,20.0154,38.5408,29.79,7.995,0,0,1,104,0
2020,3,1,0,0,15.0141,-75.0124,30.91,8.026,1,0,0,106,1
2020,3,0,0,1,20.0331,38.5587,28.77,7.98,1,0,0,123,0
2020,3,1,0,0,-18.3197,147.6728,29.38,8.094,1,0,0,111,0
2020,3,1,0,0,15.0154,-74.9149,28.86,8.173,0,0,1,124,0
2020,3,0,1,0,-1.0418,-90.9279,29.07,8.103,0,1,0,124,0
2020,4,0,1,0,-0.9607,-91.0268,28.19,8.014,1,0,0,114,0
2020,4,0,1,0,-0.9244,-90.8821,29.09,7.978,0,1,0,120,0
2020,4,1,0,0,15.0598,-75.0305,28.3,8.055,0,0,1,110,0
2020,4,1,0,0,-18.2547,147.6932,29.13,7.993,1,0,0,107,0
2020,5,1,0,0,15.0361,-75.0186,31.09,7.978,1,0,0,97,1
2020,5,0,1,0,19.9434,-155.6537,25.86,8.027,0,1,0,165,0
2020,5,1,0,0,-18.3147,147.8271,27.65,8.076,0,1,0,151,0
2020,5,1,0,0,10.1003,115.1031,30.31,8.065,0,1,0,110,1
2020,5,1,0,0,15.0389,-75.0276,27.27,8.074,0,1,0,129,0
2020,6,1,0,0,14.9773,-74.9652,29.93,8.026,0,0,1,127,0
2020,6,1,0,0,14.9429,-75.0097,27.42,7.978,0,1,0,129,0
2020,6,1,0,0,-18.2932,147.7749,29.45,7.98,0,1,0,138,0
2020,6,0,0,1,20.0611,38.5291,28.16,8.009,0,1,0,117,0
2020,7,0,0,1,20.0544,38.5942,30.81,7.979,0,1,0,80,1
2020,7,1,0,0,10.007,114.9116,28.98,8.033,1,0,0,108,0
2020,7,1,0,0,9.9203,115.0257,27.7,8.007,0,1,0,84,0
2020,7,1,0,0,14.9986,-74.9114,30.99,7.977,0,0,1,86,1
2020,7,1,0,0,10.0234,114.9501,28.95,8.079,0,1,0,133,0
2020,8,1,0,0,14.995,-75.0102,27.18,8.035,1,0,0,129,0
2020,8,1,0,0,3.2212,73.2664,27.3,8.149,0,1,0,127,0
2020,8,0,0,1,19.9989,38.4626,24.86,8.167,0,1,0,167,0
2020,8,1,0,0,9.9859,115.0033,29.27,7.956,0,1,0,104,0
2020,8,1,0,0,3.2425,73.158,28.94,7.973,0,1,0,122,0
2020,9,0,0,1,19.9982,38.4192,30.25,7.978,0,0,1,90,1
2020,9,0,0,1,20.01,38.5574,26.98,8.084,0,0,1,141,0
2020,9,1,0,0,15.0347,-74.9912,27.95,8.02,0,0,1,126,0
2020,9,1,0,0,9.9464,114.8539,29.15,8.082,0,1,0,78,0
2020,10,1,0,0,9.9495,115.031,31.59,7.989,0,0,1,78,1
2020,10,0,1,0,-0.9629,-90.8969,27.53,8.029,0,1,0,122,0
2020,10,1,0,0,14.9523,-74.9939,30.94,8.017,1,0,0,91,1
2020,10,0,1,0,19.8822,-155.661,29.82,8.02,0,1,0,104,0
2020,10,1,0,0,-18.1274,147.7141,27.37,8.051,1,0,0,148,0
2020,11,1,0,0,15.0057,-75.0719,29.88,7.989,0,1,0,134,0
2020,11,0,0,1,20.054,38.4776,30.42,8.015,0,1,0,113,1
2020,11,1,0,0,3.227,73.1784,27.53,8.121,0,1,0,124,0
2020,11,0,1,0,19.8766,-155.6306,29.14,8.14,0,0,1,97,0
2020,11,1,0,0,15.0012,-74.9294,28.38,8.075,1,0,0,105,0
2020,12,1,0,0,-18.2657,147.6898,29.98,8.08,0,0,1,144,0
2020,12,0,1,0,19.9258,-155.5665,28.79,8.027,0,1,0,122,0
2020,12,1,0,0,9.9852,115.0084,30.48,7.96,0,1,0,117,1
2020,12,0,1,0,-0.8879,-90.9715,25.32,8.083,1,0,0,171,0
2021,1,0,0,1,19.9989,38.45,27.74,8.107,1,0,0,135,0
2021,1,1,0,0,14.9881,-75.0183,27.91,8.016,0,1,0,150,0
2021,1,0,0,1,19.9839,38.5609,30.78,8.054,0,0,1,90,1
2021,1,0,0,1,20.0202,38.4988,27.14,8.093,0,1,0,115,0
2021,1,1,0,0,10.0594,114.9768,28.8,8.058,1,0,0,113,0
2021,2,1,0,0,10.0293,114.9763,29.81,7.957,0,1,0,108,0
2021,2,1,0,0,-18.1902,147.6492,27.48,8.096,0,1,0,132,0
2021,2,1,0,0,15.0175,-74.9755,29.45,8.086,0,1,0,116,0
2021,2,0,1,0,19.8847,-155.5492,31.35,7.986,0,0,1,76,1
2021,3,0,1,0,-0.8984,-90.9716,25.24,8.158,0,1,0,144,0
2021,3,1,0,0,-18.2916,147.7158,28.79,8.08,0,1,0,110,0
2021,3,1,0,0,10.0257,114.987,29.61,8.059,1,0,0,94,0
2021,3,0,1,0,-0.8995,-90.9924,29.71,8.044,0,1,0,135,0
2021,3,1,0,0,-18.2983,147.6817,28.47,8.035,0,1,0,132,0
2021,4,1,0,0,-18.3679,147.6465,26.9,8.13,0,1,0,161,0
2021,4,1,0,0,-18.2923,147.6908,28.61,8.106,1,0,0,105,0
2021,4,1,0,0,15.0119,-74.9512,29.25,8.044,1,0,0,127,0
2021,4,0,1,0,19.7616,-155.5489,27.52,7.978,0,0,1,137,0
2021,4,1,0,0,3.2715,73.2138,29.93,8.102,0,1,0,125,0
2021,5,1,0,0,3.2848,73.2578,28.61,7.968,1,0,0,115,0
2021,5,1,0,0,3.1606,73.3292,28.24,8.061,1,0,0,130,0
2021,5,1,0,0,3.205,73.3055,27.57,8.078,0,0,1,118,0
2021,5,1,0,0,3.1368,73.1901,28.44,8.03,0,1,0,110,0
2021,6,1,0,0,14.9297,-75.0042,26.24,8.133,1,0,0,143,0
2021,6,1,0,0,9.9271,114.9845,27.37,8.089,1,0,0,151,0
2021,6,1,0,0,3.109,73.2265,28.26,8.088,0,1,0,125,0
2021,6,0,0,1,19.9624,38.484,27.31,8.128,1,0,0,132,0
2021,6,0,1,0,-0.8587,-90.9686,27.44,7.996,0,1,0,103,0
2021,7,1,0,0,-18.3663,147.7126,29.26,7.956,0,1,0,125,0
2021,7,1,0,0,3.1786,73.228,30.92,8.046,1,0,0,91,1
2021,7,0,1,0,-0.9984,-91.0732,27.42,8.061,1,0,0,115,0
2021,7,1,0,0,-18.2937,147.703,28.16,8.024,0,1,0,125,0
2021,7,0,1,0,19.9189,-155.6373,30.62,8.003,0,1,0,99,1
2021,8,1,0,0,3.2382,73.2324,29.93,8.036,0,1,0,96,0
2021,8,0,1,0,-0.9357,-91.0228,28.66,8.045,0,1,0,115,0
2021,8,0,1,0,19.8904,-155.6769,27.68,8.071,0,0,1,130,0
2021,8,1,0,0,-18.3385,147.7625,27.2,8.124,1,0,0,139,0
2021,9,0,0,1,19.9677,38.5888,26.71,8.132,0,0,1,152,0
2021,9,1,0,0,9.9665,115.0696,28.12,8.072,0,1,0,127,0
2021,9,0,0,1,19.9933,38.5405,29.69,7.939,1,0,0,127,0
2021,9,0,1,0,19.8137,-155.5312,30.19,7.962,0,1,0,96,1
2021,9,0,1,0,-1.0091,-90.9763,28.04,8.098,1,0,0,144,0
2021,10,1,0,0,10.0698,114.9719,28.19,7.972,0,1,0,111,0
2021,10,0,1,0,-0.9056,-90.8848,26.65,8.057,0,1,0,138,0
2021,10,1,0,0,-18.2731,147.6587,29.14,8.014,0,1,0,113,0
2021,10,1,0,0,-18.2598,147.6995,27.85,8.058,0,1,0,125,0
2021,10,1,0,0,9.9815,114.9871,30.9,8.03,0,1,0,91,1
2021,11,0,0,1,20.0348,38.4833,30.26,8.033,0,1,0,100,1
2021,11,1,0,0,3.2252,73.1422,26.81,8.024,1,0,0,139,0
2021,11,0,0,1,20.0866,38.6116,29.46,8.056,0,1,0,83,0
2021,11,1,0,0,-18.3142,147.6598,27.57,8.06,0,0,1,122,0
2021,12,1,0,0,9.901,115.0374,26.89,8.094,0,0,1,167,0
2021,12,0,1,0,19.8508,-155.7093,28.07,8.114,0,1,0,153,0
2021,12,0,0,1,19.9385,38.5248,27.8,8.059,1,0,0,166,0
2021,12,0,0,1,19.9249,38.5127,29.2,8.09,1,0,0,114,0
2021,12,1,0,0,10.0154,114.9804,28.9,8.025,0,1,0,125,0
2022,1,0,0,1,19.9815,38.5189,28.46,8.107,0,1,0,119,0
2022,1,0,1,0,19.8081,-155.5197,27.14,8.044,0,1,0,124,0
2022,1,1,0,0,10.0687,114.8932,33.21,8.009,0,1,0,76,1
2022,1,0,1,0,19.8941,-155.5685,29.28,8.067,0,0,1,120,0
2022,1,0,1,0,19.9013,-155.5927,28.27,8.045,1,0,0,139,0
2022,2,0,0,1,20.0297,38.353,29.48,8.04,0,0,1,109,0
2022,2,0,1,0,19.8774,-155.5266,29.92,7.983,0,1,0,111,0
2022,2,1,0,0,9.9514,114.931,27.56,8.112,0,1,0,143,0
2022,2,1,0,0,15.0257,-74.9637,29.27,8.002,0,1,0,118,0
2022,3,1,0,0,10.04,115.0377,30.28,8.05,1,0,0,107,1
2022,3,1,0,0,15.0535,-75.0013,27.18,8.068,0,1,0,122,0
2022,3,0,1,0,-0.9876,-90.9728,27.31,8.058,0,0,1,103,0
2022,3,0,1,0,-0.9431,-90.9655,27.27,8.107,0,1,0,146,0
2022,4,0,0,1,19.9196,38.4619,27.35,8.026,0,1,0,143,0
2022,4,1,0,0,9.9903,114.9868,25.49,8.142,0,1,0,131,0
2022,4,0,1,0,-0.9508,-90.9517,30.54,7.944,0,0,1,54,1
2022,4,0,1,0,19.906,-155.4928,30.36,8.023,0,1,0,94,1
2022,4,1,0,0,-18.2467,147.6505,29.21,8.061,0,0,1,128,0
2022,5,1,0,0,10.138,115.0196,27.74,8.064,0,1,0,101,0
2022,5,0,0,1,19.9653,38.4795,27.71,8.073,0,0,1,115,0
2022,5,0,1,0,-0.8977,-90.9656,28.49,8.034,0,0,1,122,0
2022,5,1,0,0,-18.2458,147.6558,27.51,8.055,0,1,0,109,0
2022,5,0,1,0,-0.9948,-90.9894,29.81,8.037,1,0,0,109,0
2022,6,1,0,0,-18.2446,147.6923,29.09,8.033,0,1,0,118,0
2022,6,0,1,0,-0.9829,-91.0875,28.3,8.125,1,0,0,135,0
2022,6,0,1,0,19.9451,-155.521,28.63,8.057,0,1,0,109,0
2022,6,1,0,0,9.9842,115.0308,30.31,8.007,0,1,0,95,1
2022,7,0,0,1,20.0,38.5301,26.33,7.979,1,0,0,133,0
2022,7,0,0,1,19.939,38.4746,28.28,8.032,0,1,0,144,0
2022,7,1,0,0,3.2191,73.2357,29.43,7.974,0,1,0,126,0
2022,7,1,0,0,-18.2909,147.7327,26.89,8.004,1,0,0,148,0
2022,7,1,0,0,-18.2683,147.6541,27.2,8.132,0,1,0,115,0
2022,8,0,0,1,20.0821,38.455,29.46,8.014,0,1,0,119,0
2022,8,0,0,1,19.9728,38.4919,28.56,7.999,1,0,0,130,0
2022,8,1,0,0,-18.3128,147.6878,27.01,7.952,0,1,0,132,0
2022,8,0,1,0,-0.8332,-90.9264,28.47,8.037,1,0,0,120,0
2022,8,1,0,0,10.0274,114.941,30.17,8.052,0,1,0,114,1
2022,9,0,1,0,-0.9319,-90.9646,29.51,8.059,0,1,0,104,0
2022,9,0,0,1,19.9713,38.5051,30.82,7.942,0,1,0,74,1
2022,9,0,1,0,19.905,-155.5803,28.76,8.057,1,0,0,114,0
2022,9,0,1,0,19.9713,-155.6628,27.26,8.07,0,1,0,107,0
2022,10,0,1,0,19.888,-155.4997,28.53,8.061,0,1,0,100,0
2022,10,1,0,0,3.172,73.2019,28.02,8.124,0,1,0,133,0
2022,10,1,0,0,9.9444,115.0123,29.25,8.092,0,1,0,136,0
2022,10,0,1,0,19.846,-155.6233,26.61,8.076,0,0,1,145,0
2022,10,1,0,0,-18.2377,147.6954,28.02,8.067,0,0,1,112,0
2022,11,1,0,0,10.1045,114.9196,28.78,8.146,0,1,0,117,0
2022,11,0,1,0,19.8873,-155.6007,28.23,8.124,1,0,0,89,0
2022,11,0,1,0,-0.8771,-91.0368,28.1,8.037,1,0,0,132,0
2022,11,1,0,0,14.9201,-74.9769,31.54,7.921,0,1,0,92,1
2022,11,0,0,1,19.9669,38.5213,28.53,8.017,1,0,0,127,0
2022,12,1,0,0,10.0902,114.9905,29.58,7.964,0,1,0,94,0
2022,12,1,0,0,15.0236,-74.9258,29.03,8.024,1,0,0,114,0
2022,12,0,1,0,19.8343,-155.5526,29.82,8.001,1,0,0,99,0
2022,12,1,0,0,15.0133,-75.0218,28.4,8.157,1,0,0,117,0
2023,1,1,0,0,14.9821,-75.0324,29.62,8.019,1,0,0,99,0
2023,1,0,0,1,20.0661,38.571,27.6,7.975,1,0,0,144,0
2023,1,0,0,1,19.9658,38.5395,25.54,8.154,0,0,1,131,0
2023,1,0,0,1,20.0365,38.5007,27.07,8.058,0,0,1,144,0
2023,1,0,0,1,20.0053,38.5292,31.46,7.912,1,0,0,114,1
2023,2,0,1,0,19.902,-155.6277,26.5,8.08,1,0,0,153,0
2023,2,1,0,0,14.9936,-74.9244,26.32,8.093,0,1,0,122,0
2023,2,1,0,0,15.0182,-74.9557,27.87,7.932,0,0,1,129,0
2023,2,0,1,0,-0.932,-90.9454,30.35,7.959,1,0,0,111,1
2023,3,1,0,0,15.0596,-75.0889,28.98,8.015,0,1,0,113,0
2023,3,0,0,1,20.0174,38.4756,27.49,8.072,0,1,0,113,0
2023,3,1,0,0,-18.3414,147.7332,26.78,8.118,0,1,0,144,0
2023,3,1,0,0,9.9137,114.9661,30.29,7.965,0,1,0,95,1
2023,3,0,1,0,-0.9307,-90.9264,28.12,8.028,0,0,1,145,0
2023,4,1,0,0,10.0869,115.0489,28.63,8.007,0,0,1,106,0
2023,4,1,0,0,3.2289,73.2416,30.6,8.04,0,1,0,76,1
2023,4,1,0,0,10.0526,114.9501,27.92,8.074,1,0,0,155,0
2023,4,1,0,0,-18.1316,147.7295,28.23,8.082,0,1,0,136,0
2023,5,0,0,1,19.984,38.5898,28.85,8.068,0,1,0,126,0
2023,5,0,0,1,20.0211,38.5419,27.57,8.041,1,0,0,112,0
2023,5,1,0,0,-18.2651,147.7381,29.19,8.12,1,0,0,113,0
2023,5,0,1,0,19.9302,-155.6374,27.92,8.096,0,1,0,138,0
2023,5,0,0,1,19.9853,38.4964,26.22,8.078,1,0,0,156,0
2023,6,0,1,0,-0.925,-90.9406,28.57,8.049,0,1,0,109,0
2023,6,0,1,0,19.9317,-155.5618,29.24,8.009,0,1,0,80,0
2023,6,1,0,0,10.0549,114.9761,27.21,8.111,0,1,0,127,0
2023,6,0,1,0,19.9498,-155.5519,29.53,7.961,0,1,0,127,0
2023,6,0,1,0,-0.9407,-90.9841,28.72,7.957,1,0,0,123,0
2023,7,1,0,0,3.1513,73.1531,26.22,8.151,0,1,0,133,0
2023,7,1,0,0,15.0767,-75.0268,25.94,8.045,0,1,0,164,0
2023,7,0,1,0,-0.9616,-90.993,28.74,8.07,0,1,0,134,0
2023,7,0,1,0,19.9692,-155.6008,26.51,8.069,1,0,0,143,0
2023,8,1,0,0,14.9518,-75.0479,29.02,8.037,0,0,1,115,0
2023,8,1,0,0,14.9621,-75.0115,27.11,8.122,0,1,0,149,0
2023,8,1,0,0,3.1105,73.1742,26.26,8.062,0,1,0,141,0
2023,8,1,0,0,9.9275,114.9539,26.99,8.09,0,1,0,136,0
2023,8,0,1,0,-0.9899,-90.9568,27.68,8.053,0,1,0,153,0
2023,9,1,0,0,15.067,-75.065,29.74,8.066,0,1,0,90,0
2023,9,0,0,1,20.0409,38.5769,26.82,8.038,1,0,0,152,0
2023,9,0,1,0,19.9104,-155.5552,29.01,8.059,0,1,0,94,0
2023,9,0,1,0,-0.9014,-90.9071,28.16,8.055,0,1,0,100,0
2023,9,0,0,1,20.0257,38.5286,28.41,8.108,0,0,1,115,0
2023,10,1,0,0,-18.2589,147.6482,28.46,8.042,0,1,0,123,0
2023,10,1,0,0,9.9815,114.9934,29.74,8.003,1,0,0,83,0
2023,10,0,0,1,20.0875,38.5691,26.56,8.123,1,0,0,131,0
2023,10,1,0,0,15.0132,-74.9853,28.15,8.018,0,0,1,113,0
2023,11,1,0,0,-18.3329,147.6576,28.4,8.016,1,0,0,131,0
2023,11,0,1,0,19.9712,-155.6118,28.86,8.068,1,0,0,123,0
2023,11,1,0,0,-18.2833,147.7363,29.22,7.974,0,1,0,125,0
2023,11,0,1,0,19.9412,-155.621,28.56,8.083,0,1,0,116,0
2023,11,1,0,0,-18.2335,147.8174,27.32,8.005,0,1,0,136,0
2023,12,0,1,0,-0.9177,-90.9771,30.68,7.939,0,1,0,108,1
2023,12,1,0,0,3.1725,73.3067,31.49,7.952,0,1,0,81,1
2023,12,1,0,0,15.043,-75.0194,28.43,8.053,0,1,0,91,0
2023,12,0,0,1,19.9993,38.4655,27.76,8.137,0,1,0,108,0
2023,12,0,0,1,20.0407,38.4861,28.08,8.098,1,0,0,129,0
